cenario,tipo_linha,imagem,metrica,referencia_usada,medido,erro_percentual_abs,mape_percentual,criterio,limite_percentual,aprovado,criterios_atingidos,criterios_totais,rubrica_c_atendida,rubrica_b_atingida
COM CALIBRACAO QUARTICA_5_5,erro_por_imagem,1,altura_vertical,772.000000,772.000000,0.000000,,,,,,,,
COM CALIBRACAO QUARTICA_5_5,erro_por_imagem,1,comprimento_total,697.000000,697.000000,0.000000,,,,,,,,
COM CALIBRACAO QUARTICA_5_5,erro_por_imagem,1,diametro,12.000000,12.000000,0.000000,,,,,,,,
COM CALIBRACAO QUARTICA_5_5,erro_por_imagem,1,area_foliar,62484.000000,62484.000000,0.000000,,,,,,,,
COM CALIBRACAO QUARTICA_5_5,erro_por_imagem,1,nro_folhas,12.000000,12.000000,0.000000,,,,,,,,
COM CALIBRACAO QUARTICA_5_5,erro_por_imagem,2,altura_vertical,1179.000000,1179.000000,0.000000,,,,,,,,
COM CALIBRACAO QUARTICA_5_5,erro_por_imagem,2,comprimento_total,961.000000,961.000000,0.000000,,,,,,,,
COM CALIBRACAO QUARTICA_5_5,erro_por_imagem,2,diametro,19.000000,19.000000,0.000000,,,,,,,,
COM CALIBRACAO QUARTICA_5_5,erro_por_imagem,2,area_foliar,217423.000000,217423.000000,0.000000,,,,,,,,
COM CALIBRACAO QUARTICA_5_5,erro_por_imagem,2,nro_folhas,11.000000,11.000000,0.000000,,,,,,,,
COM CALIBRACAO QUARTICA_5_5,erro_por_imagem,3,altura_vertical,1107.000000,1107.000000,0.000000,,,,,,,,
COM CALIBRACAO QUARTICA_5_5,erro_por_imagem,3,comprimento_total,1340.000000,1340.000000,0.000000,,,,,,,,
COM CALIBRACAO QUARTICA_5_5,erro_por_imagem,3,diametro,21.000000,21.000000,0.000000,,,,,,,,
COM CALIBRACAO QUARTICA_5_5,erro_por_imagem,3,area_foliar,179931.000000,179931.000000,0.000000,,,,,,,,
COM CALIBRACAO QUARTICA_5_5,erro_por_imagem,3,nro_folhas,11.000000,11.000000,0.000000,,,,,,,,
COM CALIBRACAO QUARTICA_5_5,erro_por_imagem,4,altura_vertical,794.000000,794.000000,0.000000,,,,,,,,
COM CALIBRACAO QUARTICA_5_5,erro_por_imagem,4,comprimento_total,630.000000,630.000000,0.000000,,,,,,,,
COM CALIBRACAO QUARTICA_5_5,erro_por_imagem,4,diametro,14.000000,14.000000,0.000000,,,,,,,,
COM CALIBRACAO QUARTICA_5_5,erro_por_imagem,4,area_foliar,43952.000000,43952.000000,0.000000,,,,,,,,
COM CALIBRACAO QUARTICA_5_5,erro_por_imagem,4,nro_folhas,13.000000,13.000000,0.000000,,,,,,,,
COM CALIBRACAO QUARTICA_5_5,erro_por_imagem,5,altura_vertical,269.000000,269.000000,0.000000,,,,,,,,
COM CALIBRACAO QUARTICA_5_5,erro_por_imagem,5,comprimento_total,75.000000,75.000000,0.000000,,,,,,,,
COM CALIBRACAO QUARTICA_5_5,erro_por_imagem,5,diametro,16.000000,16.000000,0.000000,,,,,,,,
COM CALIBRACAO QUARTICA_5_5,erro_por_imagem,5,area_foliar,28524.000000,28524.000000,0.000000,,,,,,,,
COM CALIBRACAO QUARTICA_5_5,erro_por_imagem,5,nro_folhas,4.000000,4.000000,0.000000,,,,,,,,
COM CALIBRACAO QUARTICA_5_5,mape,,altura_vertical,,,,0.000000,,,,,,,
COM CALIBRACAO QUARTICA_5_5,mape,,comprimento_total,,,,0.000000,,,,,,,
COM CALIBRACAO QUARTICA_5_5,mape,,diametro,,,,0.000000,,,,,,,
COM CALIBRACAO QUARTICA_5_5,mape,,area_foliar,,,,0.000000,,,,,,,
COM CALIBRACAO QUARTICA_5_5,mape,,nro_folhas,,,,0.000000,,,,,,,
COM CALIBRACAO QUARTICA_5_5,criterio_rubrica_b,,altura_vertical,,,,0.000000,Comprimento basico (altura_vertical),2.000000,SIM,,,,
COM CALIBRACAO QUARTICA_5_5,criterio_rubrica_b,,comprimento_total,,,,0.000000,Comprimento avancado (comprimento_total),5.000000,SIM,,,,
COM CALIBRACAO QUARTICA_5_5,criterio_rubrica_b,,diametro,,,,0.000000,Diametro,20.000000,SIM,,,,
COM CALIBRACAO QUARTICA_5_5,criterio_rubrica_b,,area_foliar,,,,0.000000,Area foliar,5.000000,SIM,,,,
COM CALIBRACAO QUARTICA_5_5,criterio_rubrica_b,,nro_folhas,,,,0.000000,Numero de folhas,10.000000,SIM,,,,
COM CALIBRACAO QUARTICA_5_5,resumo_final,,,,,,,,,,5,5,SIM,SIM
