Img,Metrica,Referencia,Medido,Erro_relativo_percentual
Eucalipto03,Altura Vert.,1107.0,1098.0,0.8130081300813008
Eucalipto03,Compr Total,1340.0,810.0,39.55223880597015
Eucalipto03,Diametro,21.0,18.0,14.285714285714286
Eucalipto03,Area,179931.0,185515.0,3.1034118634365395
Eucalipto03,Nro Folhas,11.0,10.0,9.090909090909092
Eucalipto04,Altura Vert.,794.0,794.0,0.0
Eucalipto04,Compr Total,630.0,628.0,0.31746031746031744
Eucalipto04,Diametro,14.0,16.0,14.285714285714286
Eucalipto04,Area,43952.0,45177.0,2.7871314160902805
Eucalipto04,Nro Folhas,13.0,13.0,0.0
Eucalipto06,Altura Vert.,394.0,418.0,6.091370558375634
Eucalipto06,Compr Total,263.0,522.0,98.47908745247149
Eucalipto06,Diametro,13.0,15.0,15.384615384615385
Eucalipto06,Area,56107.0,54579.0,2.7233678507138146
Eucalipto06,Nro Folhas,4.0,4.0,0.0
Eucalipto07,Altura Vert.,1102.0,1081.0,1.9056261343012704
Eucalipto07,Compr Total,941.0,1079.0,14.665249734325187
Eucalipto07,Diametro,16.0,16.0,0.0
Eucalipto07,Area,82169.0,76278.0,7.169370443841351
Eucalipto07,Nro Folhas,20.0,19.0,5.0
Eucalipto08,Altura Vert.,997.0,987.0,1.0030090270812437
Eucalipto08,Compr Total,948.0,1161.0,22.468354430379748
Eucalipto08,Diametro,13.0,21.0,61.53846153846154
Eucalipto08,Area,87715.0,82983.0,5.394744342472781
Eucalipto08,Nro Folhas,12.0,12.0,0.0
Eucalipto09,Altura Vert.,1333.0,1288.0,3.3758439609902475
Eucalipto09,Compr Total,1252.0,1016.0,18.849840255591054
Eucalipto09,Diametro,16.0,17.0,6.25
Eucalipto09,Area,128129.0,122173.0,4.648440243816778
Eucalipto09,Nro Folhas,13.0,13.0,0.0
Eucalipto10,Altura Vert.,873.0,874.0,0.1145475372279496
Eucalipto10,Compr Total,610.0,700.0,14.754098360655737
Eucalipto10,Diametro,13.0,18.0,38.46153846153846
Eucalipto10,Area,120549.0,117199.0,2.7789529568889
Eucalipto10,Nro Folhas,11.0,11.0,0.0
Eucalipto11,Altura Vert.,1039.0,1036.0,0.28873917228103946
Eucalipto11,Compr Total,933.0,963.0,3.215434083601286
Eucalipto11,Diametro,14.0,13.0,7.142857142857143
Eucalipto11,Area,129845.0,131806.0,1.510262235742616
Eucalipto11,Nro Folhas,13.0,14.0,7.6923076923076925
Eucalipto12,Altura Vert.,1547.0,1532.0,0.9696186166774402
Eucalipto12,Compr Total,1365.0,1384.0,1.3919413919413919
Eucalipto12,Diametro,17.0,17.0,0.0
Eucalipto12,Area,112644.0,106816.0,5.173821952345442
Eucalipto12,Nro Folhas,14.0,21.0,50.0
Eucalipto13,Altura Vert.,273.0,268.0,1.8315018315018314
Eucalipto13,Compr Total,73.0,73.0,0.0
Eucalipto13,Diametro,13.0,14.0,7.6923076923076925
Eucalipto13,Area,28758.0,27868.0,3.0947910146741777
Eucalipto13,Nro Folhas,4.0,4.0,0.0
