Img,Metrica,Referencia,Medido,Erro %
Eucalipto1,Altura Vert.,772,766.0,0.7772020725388601
Eucalipto1,Compr Total,697,747.0,7.173601147776184
Eucalipto1,Diâmetro,12,6.0,50.0
Eucalipto1,Área,62484,66944.0,7.137827283784649
Eucalipto1,Nro Folhas,11,10.0,9.090909090909092
Eucalipto2,Altura Vert.,1179,1209.0,2.544529262086514
Eucalipto2,Compr Total,961,1200.0,24.86992715920916
Eucalipto2,Diâmetro,19,182.0,857.8947368421053
Eucalipto2,Área,217423,227464.0,4.61818666838375
Eucalipto2,Nro Folhas,11,5.0,54.54545454545455
Eucalipto3,Altura Vert.,1107,1146.0,3.5230352303523036
Eucalipto3,Compr Total,1340,1143.0,14.701492537313433
Eucalipto3,Diâmetro,21,16.0,23.80952380952381
Eucalipto3,Área,179931,242657.0,34.86114121524362
Eucalipto3,Nro Folhas,11,2.0,81.81818181818181
Eucalipto4,Altura Vert.,794,840.0,5.793450881612091
Eucalipto4,Compr Total,630,840.0,33.333333333333336
Eucalipto4,Diâmetro,14,111.0,692.8571428571429
Eucalipto4,Área,43952,56978.0,29.636876592646523
Eucalipto4,Nro Folhas,13,8.0,38.46153846153846
Eucalipto5,Altura Vert.,269,167.0,37.9182156133829
Eucalipto5,Compr Total,75,167.0,122.66666666666667
Eucalipto5,Diâmetro,16,22.0,37.5
Eucalipto5,Área,28524,12787.0,55.17108399943907
Eucalipto5,Nro Folhas,4,2.0,50.0
